"name","numero_ingredientes","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"Shampoo Capilatis Con Palo amargo Lí­nea Piojos",13,"7792640004601",6.625,0.26250002,0,1.5,3.25,2.125,4.527424
"Shampoo Tí­o Nacho Herbolaria Milenaria Fortalecimiento capilar",32,"6",13.596153,0.60769236,0.30769232,2.5384614,1.8076923,9.769231,-1.3833237
"ACONDICIONADOR PANTENE 3MIN FUERZA RECONSTRUCCION",18,"7500435116718",10.0625,0.18125,0,0,5.625,6.375,1.1549053
"Johnsons Baby Shampoo Fuerza Y Vitamina",21,"7891010244507",9.657895,0,0,0,2.6842105,9,1.5134401
"PANTENE MAXPROV SHAMPOO CONTROL CAIDA",22,"7500435012201",12.149999,0.155,1.8000001,0.95000005,6.9000006,9.25,-2.4084816
"Acondicionador Tresemmé Blindaje Platinum",23,"7791293033969",16.690477,0.5904762,1.2380953,2,9.190476,6.285714,-4.3132915
"PANTENE Acondicionador Pro-V Hidratacion Extrema",18,"7500435013796",10.0625,0.18125,0,0,5.5,6.4375,1.1797581
"Johnson's Baby Acondicionador Gotas de Brillo",15,"7790010602013",7.9615383,0,0,0,6.4615383,2,3.4694614
"Desodorante para Mujer Dove",24,"75027513",13.190476,0.27142859,0.71428573,0.47619048,12.428572,6.3333335,-3.2869911
"Lux Jabón Lí­quido Rosas Francesas",31,"7791293037660",13.051723,0.7620689,3.1034484,1.4137931,9.068965,12.275863,-5.776869
"Lux Jabón Lí­quido Orquí­dea Negra",29,"7791293037684",14.203703,0.91851854,3.3333335,1.8148148,6.740741,9.481482,-4.5110607
"ACOND PANTENE HIDRATACION MAX",14,"750043501232",10.458334,0.21666668,0,0,9,5.416667,0.02244854
"Shampoo Pantene Pro-V Hidratacion Extrema",21,"750043502287",12.263157,0.3894737,1.1578947,0.36842105,7.368421,8.421053,-1.9167633
"Oral B Crema Dental Complete 4en1",16,"7506195131664",4.923077,0.12307693,0,0,3.0769231,3.2307694,5.485211
"Colgate Crema Dental Colgate Triple Acción Menta Original",18,"7793100111877",6.4,0,0,0,2.2666667,4.6000004,4.7245893
"Carefree Protectores Diarios Todos los Dias",6,"7790010616751",0,0,0,0,3,3,7.6141357
"Johnson's Baby Shampoo Protección UV",17,"7790010570602",4.9666667,0.16000001,0.73333335,0.8,3.266667,9.266665,2.3678856
"BABY DOVE SHAMPOO CABELLOS RIZADOS CON ACEITE DE COCO",13,"7891150044555",4.625,0.3625,0.625,0.625,6,6.25,2.6485567
"baby dove acondicionador humectacion enriquecida",13,"7891150036390",4,0,0,0,3,3.6363637,5.7705135
"Johnson´s baby colonia fresca caricia",14,"7790010684224",19.833334,0.15,0.6666667,0.16666667,3.9166667,9.166667,-3.480133
"JABON DE TOCADOR DOVE CREMOSO",23,"7898422746759",13.571428,0.22857144,0.8095238,0.3809524,7.2857146,6.142857,-1.3006649
"JABON DE TOCADOR DOVE NUTRITIVE SECRETS",27,"7891150064980",13.75,0.39166665,1.875,0.9166666,8.791667,5.8750005,-2.5655508
"AGUA MICELAR BIFASICA L´OREAL PARIS",10,"7509552800098",1.25,0,2.5,0,4.25,2.375,5.874443
