"name","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"TALCO MURIEL BABY MENINA 75G","7896279102636",15.181819,0.24545455,0,0,3.5454545,5.636364,7.7628098
"Toallitas húmedas biodegradables Baby Dove","8717163953051",0,0,0,0,0.33333334,1.8333333,9.638889
"Toallitas para bebé Natracare","782126200112",6.466666,0,3.1111112,0,3.4444444,2.3888888,9.143827
"Johnson's Baby Fécula Natural","790010007221",0,0,0,0,0,0,10
"Burt's Bees Baby Daily Cream to Powder","486",5.1655173,0.3586207,1.7931035,0,5.6206894,4.6896553,9.392152
"Manzatín-E","73554931005",0,0,0,0,0,0,10
"Destin Creamy","488",5.1285715,0.2,0.78571427,0,2.5714285,5.928571,8.956122
"Johnson's Para Antes de Dormir Crema Hidratante","7702031036746",2.642857,0,0.71428573,0,3.9285715,2.357143,9.311224
"Sanicare emulsion limpiadora a base de oleo calcareo BEBES","7798062052503",3.6999998,0.3,0,3.6666665,3.866667,2.1333337,9.088889
"Johnsons Baby Shampoo Fuerza Y Vitamina","7891010244507",9.175,0,0,0,2.5500002,8.55,8.98625
"Johnson's Baby Acondicionador Gotas de Brillo","7790010602013",8.392858,0,0,0,6.0000005,2.857143,8.767858
"Johnson's Baby Shampoo Protección UV","7790010570602",7.65625,0.15,0.6875,0.75,4.0625,10.6875,8.500391
"BABY DOVE SHAMPOO CABELLOS RIZADOS CON ACEITE DE COCO","7891150044555",4.111111,0.32222223,0.5555556,0.5555556,5.333334,5.555556,8.174074
"baby dove acondicionador humectacion enriquecida","7891150036390",3.6666667,0,0,0,3.75,3.3333335,9.104167
"Johnson's baby acondicionador fragancia prolongada","7790010681650",6.9500003,0,0,0,2.6999998,2.5,8.785
"Baby Dove Shampoo Refil Hidratação Enriquecida","7891150035928",9.3,0.030000001,0.3,0.3,5.4,10.25,8.721
"CONDICIONADOR JOHNSONS BABY CABELOS CACHEADOS CONTROLE DE VOLUME 200ML","7891010047184",9.233334,0,3.2,0,4.4666667,4.9333334,8.544444
"CONDICIONADOR JOHNSONS BABY CAMOMILA CABELOS CLAROS","7891010030476",5.166667,0,0,0,3.0000002,2,8.870371
"Condicionador J&j Baby","7891010030452",5.4444447,0,0,0,2.6666667,2.4444447,8.82716
"Johnson's CottonTouch Newborn Baby Wash & Shampoo","381371178353",7.25,0,2,0,4.875,6.125,7.46875
