"name","numero_ingredientes","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"Eucerin Sun Protetor Solar Facial Gel Creme Oil Control Fps60",27,"4005900183125",8.583333,0.35833332,6.5,1.9166666,14.125,7,4.394875
"TheChemistLook Protector Solar",45,"299",8.75,0.38000003,5.625,5.375,15.425,6.875,4.845593
"La Roche-Posay Anthelios 50+ Shaka fluido com cor",26,"30162457",7.9749994,0.435,2.25,1.5,9.900001,6.1499996,3.2216396
"RoC MINESOL FPS 70",41,"205133",10.71795,1.2641027,6.410257,4.1282053,15.179486,7.384616,7.1949472
"Hawaiian Tropic Baby",37,"7548608918",18.82353,1.0441177,5.617647,4.6764708,15.088236,13.911764,8.856132
"Aveeno Sunblock Spray, Continuous Protection, SPF 45",19,"30",7.266667,0.8,2.3999999,1.2,7.133333,9.666667,3.2509515
"Dermaglos protector solar spray FPS 40",29,"31",16.769232,0.07692308,3.3076923,5.230769,6.1153846,7.9615383,4.506588
"Rayito de sol Protector Solar FPS 65 pomo",31,"7796045102276",17.999998,1.042857,4.6785717,2.7142856,11.928572,11.285715,5.6701317
"Avon Anew Solar Advance Ultra Matte Protector Solar FPS 50",37,"33",13.939394,0.35454544,6.30303,2.6666667,17.575758,11.181818,8.301942
"Avene PROTECTOR SOLAR EMULSIÓN",34,"34",15.153335,0.77666676,5.866667,1.5333333,15.333333,9.233334,7.643716
"Nivea Sun Kids Protector Solar Hidratante FPS 50",28,"4005808555741",6.9399996,0.62799996,2.76,2.3999999,5.84,5.24,3.5639024
"Rayito de Sol Pediatric 60 Protector solar mousse",27,"7796045108063",13.084001,1.4960002,4.2799997,2.56,8.36,13.639999,4.958653
"UV Defender Hidratación Intensa FPS 50+",30,"37",14.825,0.7642857,4.821429,2.4999998,11.892857,10.714286,7.264087
"ISDIN Foto Ultra Age Repair Fusion Water SPF 50",41,"38",15.641026,0.5846154,3.7435896,1.8974359,17.615385,16.179487,8.882894
"ISDIN Fotoprotector Fusion Water Urban SPF 30",29,"406",12.388888,0.5407407,3.7407408,1.925926,12.814815,11.481482,6.845127
"Protector solar Vichy ideal soleil",31,"2",13.535713,1.0785714,5.25,1.7857143,8.607142,6.2857137,4.173269
"Protector Solar Facial Antiacne FPS 30, L'Oréal Paris",47,"7899706149556",18.918604,1.127907,4.8139534,1.9069767,16.906977,12.72093,9
"DERMAGLOS PROTECTOR SOLAR NINOS F50",27,"7793742003790",10.5,0.95,6.125,4.6666665,9.125,4.6249995,5.387718
"Cetaphil sun ultra mate & oil",56,"99",14.682051,1.2641026,1.4871795,2.3589745,16.897436,10.051282,5.337921
"Cetaphil sun kids loción liposomal FPS 50+",25,"100",7.2173915,0.43913046,3.347826,2.0869565,9.913043,3.0434783,3.8991897
"Cetaphil UV defense FPS 50+",35,"102",9.70606,1.1363636,5.818182,5.3333335,18.060608,13.272727,6.0900836
"Cetaphil UVA/UVB defense FPS 50+",35,"103",9.70606,1.1363636,5.818182,5.3333335,18.060608,13.272727,6.0900836
"DELIAL Sensitive Advanced leche solar Niños SPF-50+",29,"3600542126885",14.922223,0.8518519,5.4814816,1.925926,16.592592,10.037037,7.456399
"DELIAL Sensitive Advanced leche solar Niños SPF-50+",29,"3600541884809",14.922223,0.8518519,5.4814816,1.925926,16.592592,10.037037,7.456399
"DELIAL Sensitive Advanced Niños Bruma Anti-Arena IP50+",29,"3600541889668",9.259259,0.44814816,6.148148,4.3703704,20.11111,6.5555553,7.019516
"NIVEA Kids spray solar para niños SPF-50+ extra resistente al agua spray",29,"4005808488476",11.111112,0.59259266,2.7777777,1.8518518,8.962964,7.7037034,4.939885
"NIVEA Protege & Hidrata spray solar SPF-30 resistente al agua spray",29,"4005808473908",10.148147,0.67777777,2.6666667,1.7777778,11.333333,5.185185,3.6303558
"NIVEA Protege & Hidrata spray solar SPF-50+ resistente al agua spray 300 ml",29,"4005900193780",11.111112,0.59259266,2.7777777,1.8518518,8.962964,7.7037034,3.7686675
"NIVEA Sensitive protección inmediata spray solar antialergias solares SPF-50+ resistente al agua spray",29,"4005900619266",10.555556,0.8111111,2.8888888,1.925926,8.259259,6.8888893,3.577908
"NIVEA Protege & Hidrata leche solar SPF-30 resistente al agua frasco",29,"4005808418244",12.814815,0.6148149,5,4.037037,11.296296,7.370371,4.6975107
"NIVEA Protege & Hidrata leche solar SPF-30 resistente al agua frasco",29,"4005808423316",12.814815,0.6148149,5,4.037037,11.296296,7.370371,4.6975107
